Date,Dischage,Name,Station,lon,lat,Basin_Area,Elevation
2015-05-03,1.50,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-04,11.5,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-05,6.89,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-06,1.38,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-07,1.13,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-08,4.01,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-09,8.94,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-10,2.66,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-11,2.12,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-12,2.66,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-13,2.87,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-14,2.87,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-15,2.87,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-16,2.12,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-17,2.12,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-18,2.66,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-19,2.45,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-20,2.66,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-21,2.66,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-22,3.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-23,1.63,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-24,2.45,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-25,3.75,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-26,4.01,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-27,3.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-28,2.45,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-29,1.38,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-30,1.25,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-05-31,1.50,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-06-01,1.63,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-06-02,1.25,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-06-03,1.25,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
